Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Y/A,Rec,Y/R,FantPos,FantPt,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year,Wonderlic,40�Yard,Bench Press,Vert Leap�(in),Broad Jump�(in),Shuttle,3Cone
2006,LaDainian Tomlinson,27,Rosebud,TX,SDG,16,16,2,348,508,3,0,5.22,56,9.07,RB,427,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Peyton Manning,37,New Orleans,LA,DEN,16,16,450,32,0,0,10,-0.97,0,,QB,410,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Tom Brady,30,San Mateo,CA,NWE,16,16,398,37,0,0,8,2.65,0,,QB,398,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2011,Aaron Rodgers,28,Chico,CA,GNB,15,15,343,60,0,0,6,4.28,0,,QB,397,74,223,California,Pac 12,90,94,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2011,Drew Brees,32,Austin,TX,NOR,16,16,468,21,0,0,14,4.1,0,,QB,396,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2004,Daunte Culpepper,27,Ocala,FL,MIN,16,16,379,88,0,0,11,4.61,0,,QB,381,76,264,Central Florida,American,99,86,1/28/1977,1,1999,18,4.52,0,39,122,4.13,7.21
2000,Marshall Faulk,27,New Orleans,LA,STL,14,14,0,253,830,8,0,5.37,81,10.25,RB,381,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Cam Newton,22,College Park,GA,CAR,16,16,310,126,27,0,17,5.6,1,27,QB,373,78,260,Auburn,SEC,130,61,5/11/1989,1,2011,21,4.56,0,35,126,4.18,6.92
2003,Priest Holmes,30,Fort Smith,AR,KAN,16,16,0,320,690,0,0,4.44,74,9.32,RB,373,69,213,Texas,Big 12,149,45,10/7/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Priest Holmes,29,Fort Smith,AR,KAN,14,14,0,313,672,3,0,5.16,70,9.6,RB,373,69,213,Texas,Big 12,149,45,10/7/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Tom Brady,34,San Mateo,CA,NWE,16,16,401,43,0,0,12,2.53,0,,QB,370,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Shaun Alexander,28,Florence,KY,SEA,16,16,0,370,78,1,0,5.08,15,5.2,RB,364,71,225,Alabama,SEC,114,58,8/30/1977,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Peyton Manning,28,New Orleans,LA,IND,16,16,336,25,0,0,10,1.52,0,,QB,362,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Drew Brees,34,Austin,TX,NOR,16,16,446,35,0,0,12,1.49,0,,QB,358,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2009,Aaron Rodgers,26,Chico,CA,GNB,16,16,350,58,0,0,7,5.45,0,,QB,351,74,0,California,Pac 12,90,94,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
